Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
2021,Precious Achiuwa,PF,21.0,MIA,61.0,4.0,737.0,124.0,228.0,0.544,0.0,1.0,0.0,124.0,227.0,0.546,0.544,56.0,110.0,0.509,73.0,135.0,208.0,29.0,20.0,28.0,43.0,91.0,304.0,16.64
2021,Steven Adams,C,27.0,NOP,58.0,58.0,1605.0,189.0,308.0,0.614,0.0,3.0,0.0,189.0,305.0,0.62,0.614,60.0,135.0,0.444,213.0,301.0,514.0,111.0,54.0,38.0,78.0,113.0,438.0,17.29
2021,Bam Adebayo,C,23.0,MIA,64.0,64.0,2143.0,456.0,800.0,0.57,2.0,8.0,0.25,454.0,792.0,0.573,0.5710000000000001,283.0,354.0,0.799,142.0,431.0,573.0,346.0,75.0,66.0,169.0,145.0,1197.0,26.39
2021,LaMarcus Aldridge,C,35.0,TOT,26.0,23.0,674.0,140.0,296.0,0.473,31.0,80.0,0.38799999999999996,109.0,216.0,0.505,0.525,41.0,47.0,0.872,19.0,99.0,118.0,49.0,11.0,29.0,27.0,47.0,352.0,18.82
2021,Nickeil Alexander-Walker,SG,22.0,NOP,46.0,13.0,1007.0,192.0,458.0,0.419,76.0,219.0,0.34700000000000003,116.0,239.0,0.485,0.502,48.0,66.0,0.727,13.0,131.0,144.0,102.0,47.0,22.0,69.0,88.0,508.0,15.92
2021,Grayson Allen,SG,25.0,MEM,50.0,38.0,1259.0,173.0,414.0,0.418,107.0,274.0,0.391,66.0,140.0,0.47100000000000003,0.547,79.0,91.0,0.868,19.0,141.0,160.0,108.0,46.0,8.0,48.0,71.0,532.0,15.86
2021,Jarrett Allen,C,22.0,TOT,63.0,45.0,1864.0,298.0,482.0,0.618,6.0,19.0,0.316,292.0,463.0,0.631,0.624,204.0,290.0,0.703,196.0,435.0,631.0,106.0,32.0,90.0,100.0,96.0,806.0,22.8
2021,Al-Farouq Aminu,PF,30.0,TOT,23.0,14.0,434.0,38.0,99.0,0.384,8.0,37.0,0.21600000000000003,30.0,62.0,0.484,0.424,18.0,22.0,0.818,22.0,88.0,110.0,31.0,19.0,9.0,28.0,29.0,102.0,10.72
2021,Kyle Anderson,PF,27.0,MEM,69.0,69.0,1887.0,308.0,658.0,0.46799999999999997,94.0,261.0,0.36,214.0,397.0,0.539,0.54,144.0,184.0,0.7829999999999999,52.0,344.0,396.0,250.0,84.0,57.0,86.0,120.0,854.0,20.87
2021,Giannis Antetokounmpo,PF,26.0,MIL,61.0,61.0,2013.0,626.0,1100.0,0.569,67.0,221.0,0.303,559.0,879.0,0.636,0.6,398.0,581.0,0.685,97.0,574.0,671.0,357.0,72.0,73.0,207.0,168.0,1717.0,35.25
